,,,Isotope,,,Ru100(LR),Ru101(LR),Ru102(LR),Ru104(LR),Ru96(LR),Ru98(LR),Ru99(LR),Rh103(LR),Pd102(LR),Pd104(LR),Pd105(LR),Pd106(LR),Pd108(LR),Pd110(LR),In115(LR),Re185(LR),Re187(LR),Os189(LR),Ir191(LR),Ir193(LR),Pt190(LR),Pt192(LR),Pt194(LR),Pt195(LR),Pt196(LR),Pt198(LR),Mo95(LR),Zr90(LR),Sn118(LR),Hg200(LR),Cd111(LR),Pd106/Pd105(LR),Re185/Re187(LR),Ir191/Ir193(LR),Pt194/Pt195(LR),
,,,Concentration RSD,[%],,650.33,347.15,255.92,330.71,52.99,184.99,34.69,57.23,154.06,,,,,,,2.20,6.34,17.80,6.69,13.83,5456.28,193.33,2.64,5.71,13.08,38.90,,,,,,,,,,
Spike 3,,,Concentration AVG,,,0.001,0.000,0.000,0.001,-0.088,0.047,0.005,-0.000,0.000,,,,,,,0.017,-0.000,-0.016,-0.019,-0.000,0.006,-0.029,0.029,0.002,0.001,-0.000,,,,,,,,,,
,,,Concentration RSD,[%],,407.28,298.49,1803.76,69.39,49.95,194.78,29.59,27.89,195.95,,,,,,,5.89,301.69,14.24,1.99,11.01,5162.33,621.87,3.82,25.95,95.41,654.31,,,,,,,,,,
Spike 4,,,Concentration AVG,,,-0.824,0.060,0.008,0.056,43.134,-17.019,0.890,0.023,0.026,,,,,,,1.674,0.413,0.790,0.270,0.003,3.437,-0.188,1.737,0.195,0.109,0.093,,,,,,,,,,
,,,Concentration RSD,[%],,29.89,32.03,90.09,62.48,17.01,22.20,18.92,27.06,28.69,,,,,,,29.85,51.96,22.81,20.00,67.77,327.85,3086.59,14.00,19.92,25.57,33.71,,,,,,,,,,
Spike 1-2,,,Concentration AVG,,,-0.835,0.065,0.002,-0.009,43.842,-17.320,0.906,0.021,0.026,,,,,,,9.778,0.697,0.972,2.334,0.005,4.393,-2.832,13.627,1.072,0.388,0.207,,,,,,,,,,
,,,Concentration RSD,[%],,30.17,24.67,335.31,447.53,16.07,22.72,19.76,20.74,26.88,,,,,,,18.97,32.24,16.82,15.75,64.12,237.93,197.11,14.50,15.59,17.95,25.63,,,,,,,,,,
Spike 2-2,,,Concentration AVG,,,-0.826,0.063,0.003,0.000,44.790,-18.334,0.936,0.022,0.027,,,,,,,9.898,0.659,0.774,2.317,0.004,5.689,-1.679,13.522,1.026,0.370,0.192,,,,,,,,,,
,,,Concentration RSD,[%],,20.95,31.25,198.67,225806.76,16.02,20.22,18.33,19.39,22.94,,,,,,,16.38,24.32,14.57,15.80,35.62,147.44,343.50,14.77,14.44,18.51,37.23,,,,,,,,,,
Spike 3-2,,,Concentration AVG,,,-0.805,0.067,0.008,0.057,43.848,-17.833,0.915,0.023,0.026,,,,,,,1.355,0.327,0.659,0.210,0.003,2.203,-1.531,1.396,0.152,0.096,0.077,,,,,,,,,,
,,,Concentration RSD,[%],,28.99,25.98,81.35,63.98,13.99,20.17,13.49,20.41,29.48,,,,,,,19.43,23.71,20.14,18.42,61.05,528.49,360.79,15.49,24.30,27.64,74.30,,,,,,,,,,
Spike 4-2,,,Concentration AVG,,,-0.799,0.065,0.007,0.053,44.272,-17.804,0.906,0.021,0.025,,,,,,,1.657,0.327,0.613,0.298,0.002,2.830,-1.987,1.853,0.183,0.103,0.089,,,,,,,,,,
,,,Concentration RSD,[%],,21.27,26.14,134.40,69.50,15.10,17.30,16.01,22.52,38.41,,,,,,,16.53,20.93,17.14,15.30,63.06,364.29,218.39,16.15,20.57,23.46,39.12,,,,,,,,,,
Blank HCl,,,Concentration AVG,,,-1.180,0.069,0.073,0.946,43.886,-23.937,0.953,0.065,0.105,,,,,,,0.383,0.265,0.449,1.136,0.004,6.532,-2.496,0.179,0.176,0.173,0.173,,,,,,,,,,
,,,Concentration RSD,[%],,17.72,22.81,30.13,21.06,13.88,13.99,14.14,19.54,22.74,,,,,,,22.76,22.89,20.17,13.85,39.08,133.58,172.39,19.09,22.90,16.45,40.41,,,,,,,,,,
1 ppb 2,,,Concentration AVG,,,49.050,49.335,48.774,48.287,96.718,29.746,50.103,48.125,48.760,,,,,,,48.876,48.823,41.063,47.033,46.348,47.294,25.426,41.366,41.288,41.834,41.793,,,,,,,,,,
,,,Concentration RSD,[%],,19.92,20.17,18.36,17.15,17.86,16.47,18.77,16.72,18.23,,,,,,,13.86,13.61,12.85,16.00,18.45,226.94,408.57,22.06,23.43,24.03,23.53,,,,,,,,,,
HCl 2,,,Concentration AVG,,,-0.532,0.060,0.004,0.014,43.686,-13.706,0.884,0.023,0.021,,,,,,,0.327,0.230,0.763,1.115,0.008,1.503,-0.810,0.055,0.050,0.051,0.064,,,,,,,,,,
,,,Concentration RSD,[%],,46.22,23.21,94.79,189.47,17.71,32.27,18.81,23.79,23.68,,,,,,,24.06,24.98,28.98,16.60,36.98,644.57,906.34,30.82,32.76,37.47,41.77,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flags:   S=Amplifier Skipped    D=Intensity Defocussed   O=Overflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
